ChannelId,Title,Date,StartTime,EndTime
102,Power Rangers Super Beast Morphers,2021-04-04,2021-04-04 16:30:00,2021-04-04 17:00:00
102,PJ Masks,2021-04-04,2021-04-04 17:00:00,2021-04-04 17:30:00
102,SCOOP,2021-04-04,2021-04-04 17:30:00,2021-04-04 18:00:00
102,Around The World In 80 Tricks,2021-04-04,2021-04-04 18:00:00,2021-04-04 18:30:00
102,Just for Laughs Gags,2021-04-04,2021-04-04 18:30:00,2021-04-04 19:00:00
102,Skyscraper,2021-04-04,2021-04-04 19:00:00,2021-04-04 21:00:00
102,News Tonight,2021-04-04,2021-04-04 21:00:00,2021-04-04 21:30:00
102,MasterChef Singapore,2021-04-04,2021-04-04 21:30:00,2021-04-04 22:30:00
102,One Last Dance,2021-04-04,2021-04-04 22:30:00,2021-04-05 00:30:00
102,Whacked Out Sports,2021-04-04,2021-04-05 00:30:00,2021-04-05 00:50:00
102,Silvana Sin Lana (Rich In Love),2021-04-04,2021-04-05 00:50:00,2021-04-05 01:40:00
102,Silvana Sin Lana (Rich In Love),2021-04-04,2021-04-05 01:40:00,2021-04-05 02:30:00
102,Silvana Sin Lana (Rich In Love),2021-04-04,2021-04-05 02:30:00,2021-04-05 03:20:00
102,Christmas in Vienna 2016,2021-04-05,2021-04-05 03:20:00,2021-04-05 04:40:00
102,Around The World In 80 Tricks,2021-04-05,2021-04-05 04:40:00,2021-04-05 05:10:00
102,Wheel Of Fortune,2021-04-05,2021-04-05 05:10:00,2021-04-05 05:35:00
102,Wheel Of Fortune,2021-04-05,2021-04-05 05:35:00,2021-04-05 06:00:00
102,Lexi & Lottie,2021-04-05,2021-04-05 06:00:00,2021-04-05 06:30:00
102,Belle & Sebastian,2021-04-05,2021-04-05 06:30:00,2021-04-05 07:00:00
102,Rusty Rivets,2021-04-05,2021-04-05 07:00:00,2021-04-05 07:30:00
102,Blaze And The Monster Machines,2021-04-05,2021-04-05 07:30:00,2021-04-05 08:00:00
102,Hiccup And Sneeze,2021-04-05,2021-04-05 08:00:00,2021-04-05 08:30:00
102,Paw Patrol,2021-04-05,2021-04-05 08:30:00,2021-04-05 09:00:00
102,Super Wings : Super Charge,2021-04-05,2021-04-05 09:00:00,2021-04-05 09:30:00
102,Team Umizoomi,2021-04-05,2021-04-05 09:30:00,2021-04-05 10:00:00
102,Hiccup And Sneeze,2021-04-05,2021-04-05 10:00:00,2021-04-05 10:30:00
102,Nella The Princess Knight,2021-04-05,2021-04-05 10:30:00,2021-04-05 11:00:00
102,Rusty Rivets,2021-04-05,2021-04-05 11:00:00,2021-04-05 11:30:00
102,Blaze And The Monster Machines,2021-04-05,2021-04-05 11:30:00,2021-04-05 12:00:00
102,Jamie: Keep Cooking And Carry On,2021-04-05,2021-04-05 12:00:00,2021-04-05 12:30:00
102,Good Chef Bad Chef,2021-04-05,2021-04-05 12:30:00,2021-04-05 13:00:00
102,Films & Stars,2021-04-05,2021-04-05 13:00:00,2021-04-05 13:30:00
102,Stars in Style,2021-04-05,2021-04-05 13:30:00,2021-04-05 14:00:00
102,Tanglin,2021-04-05,2021-04-05 14:00:00,2021-04-05 14:30:00
102,Planet Action,2021-04-05,2021-04-05 14:30:00,2021-04-05 15:00:00
102,Lexi & Lottie,2021-04-05,2021-04-05 15:00:00,2021-04-05 15:30:00
102,Belle & Sebastian,2021-04-05,2021-04-05 15:30:00,2021-04-05 16:00:00
102,Horrid Henry,2021-04-05,2021-04-05 16:00:00,2021-04-05 16:30:00
102,Power Rangers Beast Morphers,2021-04-05,2021-04-05 16:30:00,2021-04-05 17:00:00
102,Transformers Cyberverse,2021-04-05,2021-04-05 17:00:00,2021-04-05 17:30:00
102,Exlosers 2,2021-04-05,2021-04-05 17:30:00,2021-04-05 18:00:00
102,The Ellen DeGeneres Show,2021-04-05,2021-04-05 18:00:00,2021-04-05 19:00:00
